,field,key,dateExport,historyId,dateCreated,page,fieldtype,fieldId,from,fromString,to,toString,tmpFromAccountId,tmpToAccountId
0,description,ECOM-5071,2023-12-27,1193859,2023-12-14T12:31:18.366+0200,0,jira,description,,"Type of test retailer: 

* Retailer which connect to picking app: Storewise
* Retailer is not connect to picking app.

Test scenario:

# Check pilot mode value is checked, value is saved to database on Storewise: *Passed*
## Storewise is connect to picking app:
!image-20231214-093607.png|width=1650,height=276!
## pilot is checked from back office-> value is saved to database:
!image-20231214-093520.png|width=54.63248522230788%!
!image-20231214-093422.png|width=1910,height=647!
# Check pilot mode value is not checked, value is save to database on Storewise: *Passed*
!image-20231214-093653.png|width=48.149575944487275%!
!image-20231214-094251.png|width=768,height=186!
#  Change pilot value of branch from check to un check: *Passed*
!image-20231214-094416.png|width=1754,height=894!
!image-20231214-095643.png|width=748,height=201!
# Default value is saved to database on Storewise → *Passed*
## !image-20231214-092035.png|width=54.63248522230788%!
#  1219 which is not connect to picking app, Default value is save to database is null: *Passed*
## 1219 not connect to picking app:
!image-20231214-101434.png|width=590,height=422!
b. default value is null 
!image-20231214-101719.png|width=1344,height=818!
!image-20231214-101829.png|width=1061,height=471!
# Check pilot mode value is  checked, value is save to database on 1219
!image-20231214-102133.png|width=1365,height=729!
!image-20231214-102147.png|width=845,height=241!
# Check pilot mode value is not checked, value is save to database on 1219
!image-20231214-102718.png|width=1333,height=501!
# !image-20231214-102731.png|width=753,height=182!
 Switch pilot value from checked to uncheck, pilot save to database: *Passed*

*   Before switch:
!image-20231214-102827.png|width=750,height=188!
* switch from back office
!image-20231214-103020.png|width=1362,height=756!
* Result on Db:
!image-20231214-102956.png|width=805,height=188!",,"Type of test retailer: 

* Retailer which connect to picking app: Storewise
* Retailer is not connect to picking app.

Test scenario:

# Check pilot mode value is checked, value is saved to database on Storewise: *Passed*
## Storewise is connect to picking app:
!image-20231214-093607.png|width=1650,height=276!
## pilot is checked from back office-> value is saved to database:
!image-20231214-093520.png|width=54.63248522230788%!
!image-20231214-093422.png|width=1910,height=647!
# Check pilot mode value is not checked, value is save to database on Storewise: *Passed*
!image-20231214-093653.png|width=48.149575944487275%!
!image-20231214-094251.png|width=768,height=186!
#  Change pilot value of branch from check to un check: *Passed*
!image-20231214-094416.png|width=1754,height=894!
!image-20231214-095643.png|width=748,height=201!
# Default value is saved to database on Storewise → *Passed*
## !image-20231214-092035.png|width=54.63248522230788%!
#  1219 which is not connect to picking app, Default value is save to database is null: *Passed*
## 1219 not connect to picking app:
!image-20231214-101434.png|width=590,height=422!
b. default value is null 
!image-20231214-101719.png|width=1344,height=818!
!image-20231214-101829.png|width=1061,height=471!
# Check pilot mode value is  checked, value is save to database on 1219:*Passed*
!image-20231214-102133.png|width=1365,height=729!
!image-20231214-102147.png|width=845,height=241!
# Check pilot mode value is not checked, value is save to database on 1219: *Passed*
!image-20231214-102718.png|width=1333,height=501!
# !image-20231214-102731.png|width=753,height=182!
 Switch pilot value from checked to uncheck, pilot save to database: *Passed*

*   Before switch:
!image-20231214-102827.png|width=750,height=188!
* switch from back office
!image-20231214-103020.png|width=1362,height=756!
* Result on Db:
!image-20231214-102956.png|width=805,height=188!",,
0,description,ECOM-5071,2023-12-27,1193872,2023-12-14T12:39:30.907+0200,0,jira,description,,"Type of test retailer: 

* Retailer which connect to picking app: Storewise
* Retailer is not connect to picking app.

Test scenario:

# Check pilot mode value is checked, value is saved to database on Storewise: *Passed*
## Storewise is connect to picking app:
!image-20231214-093607.png|width=1650,height=276!
## pilot is checked from back office-> value is saved to database:
!image-20231214-093520.png|width=54.63248522230788%!
!image-20231214-093422.png|width=1910,height=647!
# Check pilot mode value is not checked, value is save to database on Storewise: *Passed*
!image-20231214-093653.png|width=48.149575944487275%!
!image-20231214-094251.png|width=768,height=186!
#  Change pilot value of branch from check to un check: *Passed*
!image-20231214-094416.png|width=1754,height=894!
!image-20231214-095643.png|width=748,height=201!
# Default value is saved to database on Storewise → *Passed*
## !image-20231214-092035.png|width=54.63248522230788%!
#  1219 which is not connect to picking app, Default value is save to database is null: *Passed*
## 1219 not connect to picking app:
!image-20231214-101434.png|width=590,height=422!
b. default value is null 
!image-20231214-101719.png|width=1344,height=818!
!image-20231214-101829.png|width=1061,height=471!
# Check pilot mode value is  checked, value is save to database on 1219:*Passed*
!image-20231214-102133.png|width=1365,height=729!
!image-20231214-102147.png|width=845,height=241!
# Check pilot mode value is not checked, value is save to database on 1219: *Passed*
!image-20231214-102718.png|width=1333,height=501!
# !image-20231214-102731.png|width=753,height=182!
 Switch pilot value from checked to uncheck, pilot save to database: *Passed*

*   Before switch:
!image-20231214-102827.png|width=750,height=188!
* switch from back office
!image-20231214-103020.png|width=1362,height=756!
* Result on Db:
!image-20231214-102956.png|width=805,height=188!",,"Type of test retailer: 

* Retailer which connect to picking app: Storewise-1214
* Retailer is not connect to picking app: keshet-1219

Test scenario:

# Check pilot mode value is checked, value is saved to database on Storewise: *Passed*
## Storewise is connect to picking app:
!image-20231214-093607.png|width=1650,height=276!
## pilot is checked from back office-> value is saved to database:
!image-20231214-093520.png|width=54.63248522230788%!
!image-20231214-093422.png|width=1910,height=647!
# Check pilot mode value is not checked, value is save to database on Storewise: *Passed*
!image-20231214-093653.png|width=48.149575944487275%!
!image-20231214-094251.png|width=768,height=186!
#  Change pilot value of branch from check to un check: *Passed*
!image-20231214-094416.png|width=1754,height=894!
!image-20231214-095643.png|width=748,height=201!
# Default value is saved to database on Storewise → *Passed*
## !image-20231214-092035.png|width=54.63248522230788%!
#  1219 which is not connect to picking app, Default value is save to database is null: *Passed*
## 1219 not connect to picking app:
!image-20231214-101434.png|width=590,height=422!
b. default value is null 
!image-20231214-101719.png|width=1344,height=818!
!image-20231214-101829.png|width=1061,height=471!
# Check pilot mode value is  checked, value is save to database on 1219:*Passed*
!image-20231214-102133.png|width=1365,height=729!
!image-20231214-102147.png|width=845,height=241!
# Check pilot mode value is not checked, value is save to database on 1219: *Passed*
!image-20231214-102718.png|width=1333,height=501!
# !image-20231214-102731.png|width=753,height=182!
 Switch pilot value from checked to uncheck, pilot save to database: *Passed*

*   Before switch:
!image-20231214-102827.png|width=750,height=188!
* switch from back office
!image-20231214-103020.png|width=1362,height=756!
* Result on Db:
!image-20231214-102956.png|width=805,height=188!",,
0,resolution,ECOM-5071,2023-12-27,1193873,2023-12-14T12:39:33.459+0200,0,jira,resolution,,,10000,Done,,
1,status,ECOM-5071,2023-12-27,1193873,2023-12-14T12:39:33.459+0200,0,jira,status,10047,QA IN PROGRESS,10001,Done,,
0,timeestimate,ECOM-5071,2023-12-27,1193882,2023-12-14T12:42:00.713+0200,0,jira,timeestimate,,,0,0,,
1,timespent,ECOM-5071,2023-12-27,1193882,2023-12-14T12:42:00.713+0200,0,jira,timespent,,,7200,7200,,
2,WorklogId,ECOM-5071,2023-12-27,1193882,2023-12-14T12:42:00.713+0200,0,jira,,,,113180,113180,,
0,Link,ECOM-5071,2023-12-27,1194535,2023-12-15T07:02:01.613+0200,0,jira,,,,ECOM-5094,This issue blocks ECOM-5094,,
0,Link,ECOM-5071,2023-12-27,1194537,2023-12-15T07:02:12.383+0200,0,jira,,ECOM-5094,This issue blocks ECOM-5094,,,,
0,Link,ECOM-5071,2023-12-27,1194539,2023-12-15T07:02:26.762+0200,0,jira,,,,ECOM-5094,This issue is child of ECOM-5094,,
0,Fix Version,ECOM-5071,2023-12-27,1197596,2023-12-18T15:09:40.495+0200,0,jira,fixVersions,,,10800,Q4_24_12_2023,,
0,Freshdesk Group,ECOM-5070,2023-12-27,1192420,2023-12-13T16:47:21.532+0200,0,custom,customfield_10125,,,,Support IL,,
0,assignee,ECOM-5070,2023-12-27,1193347,2023-12-14T09:13:17.645+0200,0,jira,assignee,712020:bbdd4f68-e6e2-41c1-8cf5-03dde8535fc8,Lior Regev,712020:0743b6b6-ea26-4081-90fa-6e1956e41bd1,An Le,712020:bbdd4f68-e6e2-41c1-8cf5-03dde8535fc8,712020:0743b6b6-ea26-4081-90fa-6e1956e41bd1
0,summary,ECOM-5070,2023-12-27,1195208,2023-12-17T12:07:13.552+0200,0,jira,summary,,"Shuk Hair - Android and Ios apps, this coupon pops ups and doesn't do anything until several times.",,"Shuk Hair - Android and possibly in IOS apps as well, the coupon pops ups and does not respond when the green button ""go to coupons list"" is pressed",,
0,RemoteIssueLink,ECOM-5070,2023-12-27,1201326,2023-12-21T08:33:18.427+0200,0,jira,,,,18887,"This issue links to ""Page (Confluence)""",,
0,assignee,ECOM-5070,2023-12-27,1201497,2023-12-21T09:57:03.055+0200,0,jira,assignee,712020:0743b6b6-ea26-4081-90fa-6e1956e41bd1,An Le,712020:f4a27a4e-12ce-4a80-b88b-59c8d467b6c0,Dang Nguyen,712020:0743b6b6-ea26-4081-90fa-6e1956e41bd1,712020:f4a27a4e-12ce-4a80-b88b-59c8d467b6c0
0,Sprint,ECOM-5070,2023-12-27,1201499,2023-12-21T09:57:08.633+0200,0,custom,customfield_10018,,,664,ECOM Dragon Sprint 27,,
0,labels,ECOM-5070,2023-12-27,1201500,2023-12-21T09:57:14.078+0200,0,jira,labels,,,,Unplanned_S27,,
0,Rank,ECOM-5070,2023-12-27,1202079,2023-12-21T15:42:06.574+0200,0,custom,customfield_10019,,,,Ranked higher,,
0,assignee,ECOM-5070,2023-12-27,1202316,2023-12-22T04:38:05.941+0200,0,jira,assignee,712020:f4a27a4e-12ce-4a80-b88b-59c8d467b6c0,Dang Nguyen,712020:ef61458f-a61f-4447-b461-cb37078f1a38,Huy Tran Nhat,712020:f4a27a4e-12ce-4a80-b88b-59c8d467b6c0,712020:ef61458f-a61f-4447-b461-cb37078f1a38
0,Sprint,ECOM-5070,2023-12-27,1207943,2023-12-26T03:27:10.674+0200,0,custom,customfield_10018,664,ECOM Dragon Sprint 27,"664, 666","ECOM Dragon Sprint 27, ECOM Dragon Sprint 28",,
0,status,ECOM-5070,2023-12-27,1208090,2023-12-26T04:16:25.205+0200,0,jira,status,10000,To Do,3,In Progress,,
0,status,ECOM-5070,2023-12-27,1208964,2023-12-26T10:35:24.539+0200,0,jira,status,3,In Progress,10112,Blocked/On hold,,
0,Link,ECOM-5063,2023-12-27,1192163,2023-12-13T13:53:38.723+0200,0,jira,,,,ECOM-2475,This issue blocks ECOM-2475,,
0,status,ECOM-5063,2023-12-27,1192816,2023-12-14T04:53:31.896+0200,0,jira,status,10000,To Do,3,In Progress,,
0,status,ECOM-5063,2023-12-27,1192826,2023-12-14T04:59:37.677+0200,0,jira,status,3,In Progress,10046,READY FOR QA,,
0,timeestimate,ECOM-5063,2023-12-27,1192827,2023-12-14T04:59:41.128+0200,0,jira,timeestimate,,,0,0,,
1,timespent,ECOM-5063,2023-12-27,1192827,2023-12-14T04:59:41.128+0200,0,jira,timespent,,,1800,1800,,
2,WorklogId,ECOM-5063,2023-12-27,1192827,2023-12-14T04:59:41.128+0200,0,jira,,,,113139,113139,,
0,assignee,ECOM-5063,2023-12-27,1192828,2023-12-14T04:59:46.511+0200,0,jira,assignee,712020:a2e3c650-4787-406a-ba4f-e7cc60b71ffd,Thien Chuc,712020:e076303b-e72c-415b-a842-48b51f0d58db,Gam Do,712020:a2e3c650-4787-406a-ba4f-e7cc60b71ffd,712020:e076303b-e72c-415b-a842-48b51f0d58db
0,Fix Version,ECOM-5063,2023-12-27,1197601,2023-12-18T15:11:27.516+0200,0,jira,fixVersions,,,10800,Q4_24_12_2023,,
0,resolution,ECOM-5063,2023-12-27,1201702,2023-12-21T11:28:34.773+0200,0,jira,resolution,,,10000,Done,,
1,status,ECOM-5063,2023-12-27,1201702,2023-12-21T11:28:34.773+0200,0,jira,status,10046,READY FOR QA,10001,Done,,
0,assignee,ECOM-5063,2023-12-27,1201703,2023-12-21T11:28:43.536+0200,0,jira,assignee,712020:e076303b-e72c-415b-a842-48b51f0d58db,Gam Do,712020:a2e3c650-4787-406a-ba4f-e7cc60b71ffd,Thien Chuc,712020:e076303b-e72c-415b-a842-48b51f0d58db,712020:a2e3c650-4787-406a-ba4f-e7cc60b71ffd
0,Link,ECOM-5051,2023-12-27,1191860,2023-12-13T12:15:06.723+0200,0,jira,,,,ECOM-2475,This issue blocks ECOM-2475,,
0,description,ECOM-5051,2023-12-27,1191961,2023-12-13T12:43:06.595+0200,0,jira,description,,"Setting 50 % delivery slot quota for 1431 branch of linked store as below setting

!image-20231213-101323.png|width=636,height=598!

Actual result: Can place order over 50% of reservation.

!image-20231213-101251.png|width=643,height=369!",,"The number of order is over quota number:

!image-20231213-104243.png|width=677,height=614!

testing at: [https://testing.qa.test.self-point.com/backend/?domain=spqa.qa.test.self-point.com#!/dashboard/deliverySlots|https://testing.qa.test.self-point.com/backend/?domain=spqa.qa.test.self-point.com#!/dashboard/deliverySlots]",,
0,Sprint,ECOM-5051,2023-12-27,1207949,2023-12-26T03:27:11.408+0200,0,custom,customfield_10018,664,ECOM Dragon Sprint 27,"664, 666","ECOM Dragon Sprint 27, ECOM Dragon Sprint 28",,
0,Link,ECOM-5050,2023-12-27,1191841,2023-12-13T12:10:20.665+0200,0,jira,,,,ECOM-2475,This issue blocks ECOM-2475,,
0,description,ECOM-5050,2023-12-27,1191847,2023-12-13T12:10:57.552+0200,0,jira,description,,"The number of order is not correct in order count. 

!image-20231213-100855.png|width=290,height=127!",,"The number of order is not correct in order count. 

!image-20231213-100855.png|width=290,height=127!

{noformat}https://testing.qa.test.self-point.com/backend/?domain=spqa.qa.test.self-point.com#!/dashboard/deliverySlots{noformat}",,
0,Sprint,ECOM-5050,2023-12-27,1191848,2023-12-13T12:10:58.740+0200,0,custom,customfield_10018,,,664,ECOM Dragon Sprint 27,,
0,status,ECOM-5050,2023-12-27,1191849,2023-12-13T12:11:01.093+0200,0,jira,status,10000,To Do,3,In Progress,,
0,assignee,ECOM-5050,2023-12-27,1191949,2023-12-13T12:37:45.856+0200,0,jira,assignee,712020:a2e3c650-4787-406a-ba4f-e7cc60b71ffd,Thien Chuc,63982282f3c3dfd71fe81beb,Trang Dang,712020:a2e3c650-4787-406a-ba4f-e7cc60b71ffd,63982282f3c3dfd71fe81beb
0,status,ECOM-5050,2023-12-27,1192100,2023-12-13T13:26:44.081+0200,0,jira,status,3,In Progress,10046,READY FOR QA,,
0,assignee,ECOM-5050,2023-12-27,1192104,2023-12-13T13:26:57.700+0200,0,jira,assignee,63982282f3c3dfd71fe81beb,Trang Dang,712020:e076303b-e72c-415b-a842-48b51f0d58db,Gam Do,63982282f3c3dfd71fe81beb,712020:e076303b-e72c-415b-a842-48b51f0d58db
0,timeestimate,ECOM-5050,2023-12-27,1192106,2023-12-13T13:27:07.759+0200,0,jira,timeestimate,,,0,0,,
1,timespent,ECOM-5050,2023-12-27,1192106,2023-12-13T13:27:07.759+0200,0,jira,timespent,,,1800,1800,,
2,WorklogId,ECOM-5050,2023-12-27,1192106,2023-12-13T13:27:07.759+0200,0,jira,,,,113118,113118,,
0,resolution,ECOM-5050,2023-12-27,1192153,2023-12-13T13:43:36.356+0200,0,jira,resolution,,,10000,Done,,
1,status,ECOM-5050,2023-12-27,1192153,2023-12-13T13:43:36.356+0200,0,jira,status,10046,READY FOR QA,10001,Done,,
0,assignee,ECOM-5050,2023-12-27,1192154,2023-12-13T13:43:41.866+0200,0,jira,assignee,712020:e076303b-e72c-415b-a842-48b51f0d58db,Gam Do,63982282f3c3dfd71fe81beb,Trang Dang,712020:e076303b-e72c-415b-a842-48b51f0d58db,63982282f3c3dfd71fe81beb
0,status,ECOM-5050,2023-12-27,1198526,2023-12-19T11:35:40.318+0200,0,jira,status,10001,Done,10050,READY FOR DEPLOYMENT,,
0,status,ECOM-5050,2023-12-27,1198528,2023-12-19T11:36:04.356+0200,0,jira,status,10050,READY FOR DEPLOYMENT,10050,READY FOR DEPLOYMENT,,
0,Sprint,ECOM-5050,2023-12-27,1207947,2023-12-26T03:27:11.316+0200,0,custom,customfield_10018,664,ECOM Dragon Sprint 27,"664, 666","ECOM Dragon Sprint 27, ECOM Dragon Sprint 28",,
0,Attachment,ECOM-5048,2023-12-27,1185486,2023-12-08T10:48:06.198+0200,0,jira,attachment,,,77437,Screenshot_3.jpg,,
0,Freshdesk Group,ECOM-5048,2023-12-27,1185492,2023-12-08T10:49:43.202+0200,0,custom,customfield_10125,,,,Support IL,,
0,project,ECOM-5048,2023-12-27,1191656,2023-12-13T10:54:06.478+0200,0,jira,project,10001,stor.ai development (Self-Point),10050,E-Commerce ,,
1,Key,ECOM-5048,2023-12-27,1191656,2023-12-13T10:54:06.478+0200,0,jira,,,SP-24856,,ECOM-5048,,
0,RemoteIssueLink,ECOM-5048,2023-12-27,1191753,2023-12-13T11:31:52.536+0200,0,jira,,,,18698,"This issue links to ""Page (Confluence)""",,
0,RemoteIssueLink,ECOM-5048,2023-12-27,1201317,2023-12-21T08:33:15.467+0200,0,jira,,,,18878,"This issue links to ""Page (Confluence)""",,
0,assignee,ECOM-5048,2023-12-27,1203649,2023-12-24T11:26:02.999+0200,0,jira,assignee,712020:bbdd4f68-e6e2-41c1-8cf5-03dde8535fc8,Lior Regev,712020:0743b6b6-ea26-4081-90fa-6e1956e41bd1,An Le,712020:bbdd4f68-e6e2-41c1-8cf5-03dde8535fc8,712020:0743b6b6-ea26-4081-90fa-6e1956e41bd1
0,assignee,ECOM-5048,2023-12-27,1204152,2023-12-25T04:59:00.214+0200,0,jira,assignee,712020:0743b6b6-ea26-4081-90fa-6e1956e41bd1,An Le,712020:f4a27a4e-12ce-4a80-b88b-59c8d467b6c0,Dang Nguyen,712020:0743b6b6-ea26-4081-90fa-6e1956e41bd1,712020:f4a27a4e-12ce-4a80-b88b-59c8d467b6c0
0,Sprint,ECOM-5048,2023-12-27,1204154,2023-12-25T04:59:04.030+0200,0,custom,customfield_10018,,,664,ECOM Dragon Sprint 27,,
0,timeestimate,ECOM-5048,2023-12-27,1205029,2023-12-25T12:05:06.412+0200,0,jira,timeestimate,,,0,0,,
1,timespent,ECOM-5048,2023-12-27,1205029,2023-12-25T12:05:06.412+0200,0,jira,timespent,,,28800,28800,,
2,WorklogId,ECOM-5048,2023-12-27,1205029,2023-12-25T12:05:06.412+0200,0,jira,,,,113686,113686,,
0,Sprint,ECOM-5048,2023-12-27,1207944,2023-12-26T03:27:10.822+0200,0,custom,customfield_10018,664,ECOM Dragon Sprint 27,"664, 666","ECOM Dragon Sprint 27, ECOM Dragon Sprint 28",,
0,status,ECOM-5048,2023-12-27,1208136,2023-12-26T04:28:30.861+0200,0,jira,status,10000,To Do,3,In Progress,,
0,status,ECOM-5048,2023-12-27,1208178,2023-12-26T05:01:24.651+0200,0,jira,status,3,In Progress,10046,READY FOR QA,,
0,timeestimate,ECOM-5048,2023-12-27,1208179,2023-12-26T05:01:35.068+0200,0,jira,timeestimate,0,0,0,0,,
1,timespent,ECOM-5048,2023-12-27,1208179,2023-12-26T05:01:35.068+0200,0,jira,timespent,28800,28800,32400,32400,,
2,WorklogId,ECOM-5048,2023-12-27,1208179,2023-12-26T05:01:35.068+0200,0,jira,,,,113719,113719,,
0,assignee,ECOM-5048,2023-12-27,1209810,2023-12-27T05:42:00.973+0200,0,jira,assignee,712020:f4a27a4e-12ce-4a80-b88b-59c8d467b6c0,Dang Nguyen,712020:0743b6b6-ea26-4081-90fa-6e1956e41bd1,An Le,712020:f4a27a4e-12ce-4a80-b88b-59c8d467b6c0,712020:0743b6b6-ea26-4081-90fa-6e1956e41bd1
0,assignee,ECOM-5048,2023-12-27,1209811,2023-12-27T05:42:06.499+0200,0,jira,assignee,712020:0743b6b6-ea26-4081-90fa-6e1956e41bd1,An Le,642382017222b08f3e7382bf,Tram Phan,712020:0743b6b6-ea26-4081-90fa-6e1956e41bd1,642382017222b08f3e7382bf
0,assignee,ECOM-5048,2023-12-27,1209826,2023-12-27T05:55:27.181+0200,0,jira,assignee,642382017222b08f3e7382bf,Tram Phan,712020:df412203-ddd1-444e-92d3-6a4359068de6,Tan Tran,642382017222b08f3e7382bf,712020:df412203-ddd1-444e-92d3-6a4359068de6
0,RemoteIssueLink,ECOM-5048,2023-12-27,1209834,2023-12-27T05:57:58.679+0200,0,jira,,,,19151,"This issue links to ""Page (Confluence)""",,
0,status,ECOM-5048,2023-12-27,1209911,2023-12-27T06:30:43.364+0200,0,jira,status,10046,READY FOR QA,10047,QA IN PROGRESS,,
0,Link,ECOM-5046,2023-12-27,1191536,2023-12-13T09:47:07.933+0200,0,jira,,,,ECOM-2475,This issue blocks ECOM-2475,,
0,status,ECOM-5046,2023-12-27,1191761,2023-12-13T11:35:36.023+0200,0,jira,status,10000,To Do,10027,Rejected,,
0,Fix Version,ECOM-5046,2023-12-27,1197583,2023-12-18T14:57:29.543+0200,0,jira,fixVersions,,,10800,Q4_24_12_2023,,
0,resolution,ECOM-5046,2023-12-27,1197820,2023-12-19T03:59:24.118+0200,0,jira,resolution,,,10001,Won't Do,,
1,status,ECOM-5046,2023-12-27,1197820,2023-12-19T03:59:24.118+0200,0,jira,status,10027,Rejected,10155,REJECTED APPROVED,,
0,IssueParentAssociation,ECOM-5041,2023-12-27,1190999,2023-12-13T05:29:35.151+0200,0,jira,,,,95614,ECOM-4599,,
0,Parent,ECOM-5041,2023-12-27,1191000,2023-12-13T05:29:35.212+0200,0,jira,,,,95614,ECOM-4599,,
0,assignee,ECOM-5041,2023-12-27,1191001,2023-12-13T05:29:40.821+0200,0,jira,assignee,,,712020:ef61458f-a61f-4447-b461-cb37078f1a38,Huy Tran Nhat,,712020:ef61458f-a61f-4447-b461-cb37078f1a38
0,description,ECOM-5041,2023-12-27,1191005,2023-12-13T05:30:18.254+0200,0,jira,description,,,,"!image-20231213-033012.png|width=1915,height=994!",,
0,resolution,ECOM-5041,2023-12-27,1203541,2023-12-24T10:44:28.227+0200,0,jira,resolution,,,10000,Done,,
1,status,ECOM-5041,2023-12-27,1203541,2023-12-24T10:44:28.227+0200,0,jira,status,10000,To Do,10001,Done,,
0,IssueParentAssociation,ECOM-5040,2023-12-27,1190929,2023-12-13T05:07:09.613+0200,0,jira,,,,97071,ECOM-4979,,
0,Parent,ECOM-5040,2023-12-27,1190930,2023-12-13T05:07:09.675+0200,0,jira,,,,97071,ECOM-4979,,
0,assignee,ECOM-5040,2023-12-27,1190931,2023-12-13T05:07:17.617+0200,0,jira,assignee,,,712020:3177cfdd-90eb-4208-9967-97f2c5af80cf,Long Tran,,712020:3177cfdd-90eb-4208-9967-97f2c5af80cf
0,status,ECOM-5040,2023-12-27,1190933,2023-12-13T05:07:47.513+0200,0,jira,status,10000,To Do,3,In Progress,,
0,timeestimate,ECOM-5040,2023-12-27,1190937,2023-12-13T05:08:07.119+0200,0,jira,timeestimate,,,0,0,,
1,timespent,ECOM-5040,2023-12-27,1190937,2023-12-13T05:08:07.119+0200,0,jira,timespent,,,7200,7200,,
2,WorklogId,ECOM-5040,2023-12-27,1190937,2023-12-13T05:08:07.119+0200,0,jira,,,,113067,113067,,
0,resolution,ECOM-5040,2023-12-27,1191287,2023-12-13T06:33:48.056+0200,0,jira,resolution,,,10000,Done,,
1,status,ECOM-5040,2023-12-27,1191287,2023-12-13T06:33:48.056+0200,0,jira,status,3,In Progress,10001,Done,,
0,IssueParentAssociation,ECOM-5039,2023-12-27,1190761,2023-12-13T03:44:28.899+0200,0,jira,,,,94360,ECOM-4752,,
0,Parent,ECOM-5039,2023-12-27,1190762,2023-12-13T03:44:28.959+0200,0,jira,,,,94360,ECOM-4752,,
0,assignee,ECOM-5039,2023-12-27,1190763,2023-12-13T03:44:34.615+0200,0,jira,assignee,,,712020:e076303b-e72c-415b-a842-48b51f0d58db,Gam Do,,712020:e076303b-e72c-415b-a842-48b51f0d58db
0,status,ECOM-5039,2023-12-27,1190779,2023-12-13T03:55:25.853+0200,0,jira,status,10000,To Do,10047,QA IN PROGRESS,,
0,description,ECOM-5039,2023-12-27,1190780,2023-12-13T03:56:52.035+0200,0,jira,description,,,,"Scope of work:

* Reproduce issue
* Verify after fix",,
0,description,ECOM-5039,2023-12-27,1193364,2023-12-14T09:25:20.265+0200,0,jira,description,,"Scope of work:

* Reproduce issue
* Verify after fix",,"Scope of work:

* Reproduce issue
* Verify after fix:
** Order can not  cancel while is processing status
** Order can be cancel while is new .. status",,
0,status,ECOM-5039,2023-12-27,1197296,2023-12-18T12:31:40.674+0200,0,jira,status,10047,QA IN PROGRESS,10112,Blocked/On hold,,
0,status,ECOM-5039,2023-12-27,1201019,2023-12-21T05:15:26.511+0200,0,jira,status,10112,Blocked/On hold,3,In Progress,,
0,resolution,ECOM-5039,2023-12-27,1201106,2023-12-21T06:00:12.443+0200,0,jira,resolution,,,10000,Done,,
1,status,ECOM-5039,2023-12-27,1201106,2023-12-21T06:00:12.443+0200,0,jira,status,3,In Progress,10001,Done,,
0,timeestimate,ECOM-5039,2023-12-27,1201121,2023-12-21T06:02:48.434+0200,0,jira,timeestimate,,,0,0,,
1,timespent,ECOM-5039,2023-12-27,1201121,2023-12-21T06:02:48.434+0200,0,jira,timespent,,,3600,3600,,
2,WorklogId,ECOM-5039,2023-12-27,1201121,2023-12-21T06:02:48.434+0200,0,jira,,,,113522,113522,,
0,Link,ECOM-5034,2023-12-27,1190097,2023-12-12T11:29:04.069+0200,0,jira,,,,ECOM-2475,This issue blocks ECOM-2475,,
0,status,ECOM-5034,2023-12-27,1190830,2023-12-13T04:15:54.286+0200,0,jira,status,10000,To Do,3,In Progress,,
0,status,ECOM-5034,2023-12-27,1191424,2023-12-13T09:15:56.608+0200,0,jira,status,3,In Progress,10046,READY FOR QA,,
0,timeestimate,ECOM-5034,2023-12-27,1191425,2023-12-13T09:16:01.276+0200,0,jira,timeestimate,,,0,0,,
1,timespent,ECOM-5034,2023-12-27,1191425,2023-12-13T09:16:01.276+0200,0,jira,timespent,,,3600,3600,,
2,WorklogId,ECOM-5034,2023-12-27,1191425,2023-12-13T09:16:01.276+0200,0,jira,,,,113087,113087,,
0,assignee,ECOM-5034,2023-12-27,1191426,2023-12-13T09:16:08.906+0200,0,jira,assignee,712020:a2e3c650-4787-406a-ba4f-e7cc60b71ffd,Thien Chuc,712020:e076303b-e72c-415b-a842-48b51f0d58db,Gam Do,712020:a2e3c650-4787-406a-ba4f-e7cc60b71ffd,712020:e076303b-e72c-415b-a842-48b51f0d58db
0,assignee,ECOM-5034,2023-12-27,1192031,2023-12-13T13:06:34.390+0200,0,jira,assignee,712020:e076303b-e72c-415b-a842-48b51f0d58db,Gam Do,712020:a2e3c650-4787-406a-ba4f-e7cc60b71ffd,Thien Chuc,712020:e076303b-e72c-415b-a842-48b51f0d58db,712020:a2e3c650-4787-406a-ba4f-e7cc60b71ffd
0,resolution,ECOM-5034,2023-12-27,1192032,2023-12-13T13:06:37.141+0200,0,jira,resolution,,,10000,Done,,
1,status,ECOM-5034,2023-12-27,1192032,2023-12-13T13:06:37.141+0200,0,jira,status,10046,READY FOR QA,10001,Done,,
0,Fix Version,ECOM-5034,2023-12-27,1197582,2023-12-18T14:56:47.505+0200,0,jira,fixVersions,,,10800,Q4_24_12_2023,,
0,Link,ECOM-5030,2023-12-27,1189426,2023-12-12T09:31:22.339+0200,0,jira,,,,ECOM-2475,This issue blocks ECOM-2475,,
0,Rank,ECOM-5030,2023-12-27,1198244,2023-12-19T09:41:43.541+0200,0,custom,customfield_10019,,,,Ranked higher,,
0,Sprint,ECOM-5030,2023-12-27,1207882,2023-12-26T03:27:04.376+0200,0,custom,customfield_10018,664,ECOM Dragon Sprint 27,"664, 666","ECOM Dragon Sprint 27, ECOM Dragon Sprint 28",,
0,Link,ECOM-5025,2023-12-27,1187993,2023-12-11T13:08:45.079+0200,0,jira,,,,ECOM-2475,This issue blocks ECOM-2475,,
